date,China,South Korea,Iran,Russia,India,Other Asian countries,Italy,Germany,France,Spain,Belgium,Netherlands,United Kingdom,Switzerland,Turkey,Other European countries,US,Canada,Mexico,Other North-American countries,Brazil,Peru,Colombia,Chile,Other South-American countries,Africa,Australia & Oceania
2020-04-08,64,71,2427.5714285714284,842.1428571428571,559.7142857142857,3062.285714285714,4121.142857142857,5060.571428571428,3615.4285714285716,6300.285714285715,1348.4285714285713,998,4799.714285714285,787.4285714285714,3221,4823.571428571428,30783,1368.7142857142858,257.57142857142856,375.57142857142856,1333.4285714285713,431.2857142857143,141.28571428571428,371.85714285714283,381.85714285714283,695.1428571428571,237.28571428571428
2020-04-09,64.42857142857143,63.857142857142854,2250.285714285714,940.4285714285714,597.4285714285714,3166.1428571428573,4054.8571428571427,4769.571428571428,3919.5714285714284,5879.571428571428,1376.4285714285713,1016.4285714285714,4796.428571428572,746.2857142857143,3449.5714285714284,4856.714285714285,31404.571428571428,1338.5714285714287,275.85714285714283,420.2857142857143,1435.4285714285713,548.8571428571429,151.71428571428572,379.42857142857144,402,710.1428571428571,206.14285714285714
2020-04-10,61.42857142857143,55.42857142857143,2144.1428571428573,1109.7142857142858,718.7142857142857,3245.714285714286,3964.285714285714,4430.285714285715,3790.8571428571427,5582,1413.857142857143,1061.142857142857,4708.714285714285,706.4285714285714,3729.714285714286,5100.428571428572,31628,1374.5714285714287,308,464,1511.7142857142858,614.5714285714286,172.28571428571428,407.42857142857144,689.5714285714286,682.5714285714286,187.14285714285714
2020-04-11,67.28571428571429,46.285714285714285,2040.857142857143,1264.7142857142858,766.2857142857143,3436.285714285714,3948.4285714285716,4116.571428571428,3623.285714285714,5265.571428571428,1369.5714285714287,1120.5714285714287,4643,657.4285714285714,4033.285714285714,5149.285714285715,31181.428571428572,1476.857142857143,332.7142857142857,486,1481,728.8571428571429,186.14285714285714,430.14285714285717,663,678.7142857142857,160
2020-04-12,76,39.285714285714285,1922.857142857143,1483,802.4285714285714,3505,3916.4285714285716,3961.5714285714284,7185.714285714285,5026.428571428572,1422.2857142857142,1113.2857142857142,4627.142857142857,616.4285714285714,4269.571428571428,5151.142857142857,31278.428571428572,1220.4285714285713,359.7142857142857,501.85714285714283,1580.2857142857142,748.2857142857143,184.42857142857142,426.7142857142857,687.1428571428571,697.4285714285714,132
2020-04-13,78.28571428571429,36.142857142857146,1829,1712.142857142857,810.7142857142857,3677.285714285714,3852.714285714286,3814,7150.142857142857,4774.857142857143,1396.4285714285713,1112,4468.428571428572,575.8571428571429,4404.571428571428,5212.285714285715,30656.85714285714,1302.4285714285713,367.85714285714283,517,1609.857142857143,1031.857142857143,181.85714285714286,422.14285714285717,675.8571428571429,710.7142857142857,114.14285714285714
2020-04-14,84,33.285714285714285,1755.4285714285713,1943.5714285714287,882.2857142857143,3937.285714285714,3843.1428571428573,3385.1428571428573,7314.571428571428,4371.285714285715,1275,1124.4285714285713,4305.857142857143,526.1428571428571,4428.857142857143,5151,30126.571428571428,1309,373.42857142857144,507,1604,1049.857142857143,171.28571428571428,435.14285714285717,688.7142857142857,759.8571428571429,103.85714285714286
2020-04-15,78.14285714285714,29.571428571428573,1686.142857142857,2259.714285714286,915.1428571428571,4215.142857142857,3676.1428571428573,3065.285714285714,7218.285714285715,4203.428571428572,1452.857142857143,1090.5714285714287,4296.857142857143,436.57142857142856,4452.285714285715,5191.857142857143,29755.428571428572,1295.4285714285713,380.85714285714283,528.2857142857143,1735.7142857142858,1019,150.14285714285714,424.57142857142856,636.7142857142857,786.2857142857143,86.71428571428571
2020-04-16,74.28571428571429,27.142857142857142,1682.142857142857,2543.8571428571427,957.8571428571429,4344.714285714285,3616.4285714285716,2788.1428571428573,8387,4532.285714285715,1403.7142857142858,1068.5714285714287,4359.285714285715,383,4558.714285714285,5235,29261.428571428572,1450.7142857142858,408,494,1761.857142857143,1033.5714285714287,144.28571428571428,440,621.1428571428571,843.2857142857143,74.71428571428571
2020-04-17,117,26.428571428571427,1614.5714285714287,2870.1428571428573,964.8571428571429,4632.571428571428,3551,2746.5714285714284,8049.428571428572,4652.285714285715,1353,1052.857142857143,4448.285714285715,361,4502.428571428572,4938.571428571428,29150.428571428572,1536.4285714285713,433,508,2006.2857142857142,1084.5714285714287,138,428,332.57142857142856,944.5714285714286,62.714285714285715
2020-04-18,110.42857142857143,24.714285714285715,1548.4285714285713,3315.5714285714284,1039.4285714285713,4841.428571428572,3379.1428571428573,2633.4285714285716,7603.285714285715,4099.857142857143,1309.2857142857142,1027.857142857143,4608.714285714285,328.14285714285717,4308.857142857143,4972.857142857143,28909.714285714286,1577.142857142857,468.2857142857143,518,2275.8571428571427,1081.7142857142858,130.28571428571428,461.7142857142857,417.57142857142856,1025.5714285714287,54.42857142857143
2020-04-19,95.85714285714286,21.285714285714285,1503.5714285714287,3869,1201.4285714285713,4959.428571428572,3229.8571428571427,2475.714285714286,4471.285714285715,4549,1264.142857142857,1013.1428571428571,4654.571428571428,332.14285714285717,4192.857142857143,5006.142857142857,28550.428571428572,1619.142857142857,514.2857142857143,511.42857142857144,2351.714285714286,1158.4285714285713,145.14285714285714,472,447.85714285714283,1073.857142857143,57.42857142857143
2020-04-20,86.28571428571429,19.571428571428573,1457.4285714285713,4113.285714285715,1155.142857142857,5319,3101.714285714286,2427.5714285714284,4285.571428571428,4301.571428571428,1342,982.5714285714286,4749,322.2857142857143,4275.857142857143,4930.285714285715,28843.285714285714,1711.142857142857,536.8571428571429,536.5714285714286,2473.285714285714,934.4285714285714,160.71428571428572,487.2857142857143,538.1428571428571,1136.857142857143,52.857142857142854
2020-04-21,78.14285714285714,17,1417.857142857143,4523,1227.5714285714287,5518.428571428572,3067,2418.8571428571427,3971.8571428571427,4519.571428571428,1405.2857142857142,962.4285714285714,4810,303.85714285714283,4354.285714285715,4897.142857142857,28634.285714285714,1766.7142857142858,586,549.1428571428571,2545.285714285714,1076.2857142857142,167.14285714285714,477.7142857142857,572.8571428571429,1141.857142857143,45.142857142857146
2020-04-22,73.14285714285714,14.714285714285714,1372.4285714285713,4787,1292.5714285714287,5822,3167.4285714285716,2270.714285714286,3199.285714285714,4392.142857142857,1188,959.4285714285714,4867.857142857143,276,4183.142857142857,4877.857142857143,28492.571428571428,1922,671,545.7142857142857,2491,1110.7142857142858,178.71428571428572,493.14285714285717,588.1428571428571,1200.7142857142858,40.714285714285715
2020-04-23,68.71428571428571,13.571428571428571,1290.142857142857,4976.428571428572,1378.142857142857,6138.857142857143,3004.5714285714284,2204.4285714285716,1746.857142857143,4010.8571428571427,1141.142857142857,934,4842.857142857143,252,3942.4285714285716,4821.142857142857,28906.428571428572,1784.2857142857142,762.2857142857143,594,2801.5714285714284,1203.2857142857142,189.71428571428572,490.57142857142856,614.4285714285714,1235.857142857143,36.714285714285715
2020-04-24,19.857142857142858,11.857142857142858,1242.857142857143,5230.571428571428,1454,6388.714285714285,2937.1428571428573,1943.142857142857,1695.4285714285713,1735.857142857143,1165,872.8571428571429,4841.571428571428,228.42857142857142,3766.5714285714284,4829.714285714285,29416,1729.2857142857142,856.7142857142857,572.7142857142857,2908.714285714286,1165.5714285714287,206,497.57142857142856,2250.4285714285716,1273.142857142857,29.857142857142858
2020-04-25,17.428571428571427,10.714285714285714,1208.5714285714287,5399.285714285715,1508.7142857142858,6491.142857142857,2775.1428571428573,1881.5714285714287,1936.857142857143,2025.5714285714287,1163.142857142857,802.5714285714286,4702.714285714285,212.85714285714286,3634.8571428571427,4753.857142857143,30070.285714285714,1716.4285714285713,906.4285714285714,572.5714285714286,3238,1558.7142857142858,217.28571428571428,562.7142857142857,2186.285714285714,1278.7142857142858,25.142857142857142
2020-04-26,15.285714285714286,11,1181.4285714285713,5442.285714285715,1467.857142857143,6705.285714285715,2671.8571428571427,1798,1315.5714285714287,1280,1091.142857142857,743.1428571428571,4647.428571428572,188.71428571428572,3403.4285714285716,4775.571428571428,30306.14285714286,1771.4285714285713,916.5714285714286,581.2857142857143,3492.285714285714,1698.4285714285713,226.71428571428572,579.1428571428571,2130.4285714285716,1321.2857142857142,20.571428571428573
2020-04-27,14.428571428571429,11.142857142857142,1138.142857142857,5718,1558.857142857143,6617.714285714285,2598,1670.4285714285713,1510,1322.142857142857,957.7142857142857,693.1428571428571,4624.285714285715,174.28571428571428,3040.1428571428573,4750.142857142857,29609.571428571428,1708.2857142857142,965.2857142857143,563.7142857142857,3814.714285714286,1767.7142857142858,231.42857142857142,588.1428571428571,2116.1428571428573,1342.2857142857142,18.714285714285715
